
Trans_ID,Product1,Product2,Product3
195,Shoes,Bracelet,Skirt
196,Blue jeans,Bracelet,Skirt
197,Shirt,Long sleeve,Anklets
198,Shirt,Long sleeve,Skirt
199,Shoes,Blouse,Skirt
200,Shoes,Bracelet,Anklets
201,Shoes,Bracelet,Anklets
202,Blue jeans,Bracelet,Skirt
203,Earring,Short sleeve,Dress
204,Shoes,Blouse,Skirt
205,Earring,Short sleeve,Dress
206,Earring,Short sleeve,Dress
207,Shoes,Blouse,Skirt
208,Shirt,Long sleeve,Anklets
209,Blue jeans,Short sleeve,Dress
210,Blue jeans,Short sleeve,Dress
211,Shoes,Blouse,Skirt
212,Shirt,Long sleeve,Skirt
213,Blue jeans,Short sleeve,Dress
214,Shoes,Blouse,Skirt
215,Shirt,Long sleeve,Skirt
216,Blue jeans,Bracelet,Skirt
217,Earring,Short sleeve,Dress
218,Shoes,Blouse,Skirt
219,Shirt,Long sleeve,Skirt
220,Shoes,Bracelet,Skirt
221,Shoes,Long sleeve,Anklets
222,Shirt,Long sleeve,Skirt
223,Earring,Short sleeve,Dress
224,Shoes,Bracelet,Anklets
225,Blue jeans,Bracelet,Skirt
226,Shoes,Blouse,Skirt
227,Shoes,Blouse,Skirt
228,Shirt,Long sleeve,Anklets
229,Shoes,Bracelet,Anklets
230,Shoes,Blouse,Anklets
231,Shoes,Bracelet,Anklets
232,Blue jeans,Short sleeve,Dress
233,Earring,Short sleeve,Dress
234,Shoes,Blouse,Skirt
235,Shoes,Blouse,Skirt
236,Shirt,Long sleeve,Anklets
237,Shirt,Long sleeve,Skirt
238,Shoes,Blouse,Skirt
239,Blue jeans,Bracelet,Skirt
240,Shoes,Bracelet,Anklets
241,Blue jeans,Short sleeve,Dress
242,Shirt,Blouse,Anklets
243,Earring,Short sleeve,Dress
244,Shoes,Blouse,Skirt
245,Blue jeans,Bracelet,Skirt
246,Shoes,Bracelet,Anklets
247,Earring,Short sleeve,Dress
248,Shoes,Bracelet,Anklets
249,Blue jeans,Bracelet,Skirt
250,Shirt,Blouse,Anklets
251,Blue jeans,Bracelet,Skirt
252,Earring,Short sleeve,Dress
253,Shoes,Blouse,Skirt
254,Shoes,Blouse,Skirt
255,Shoes,Bracelet,Anklets
256,Blue jeans,Short sleeve,Dress
257,Shoes,Blouse,Skirt
258,Shirt,Long sleeve,Skirt
259,Shirt,Long sleeve,Skirt
260,Shirt,Long sleeve,Skirt
261,Shoes,Blouse,Skirt
262,Shoes,Blouse,Skirt
263,Blue jeans,Short sleeve,Dress
264,Blue jeans,Bracelet,Skirt
265,Shirt,Long sleeve,Anklets
266,Earring,Short sleeve,Dress
267,Shoes,Blouse,Skirt
268,Shoes,Blouse,Skirt
269,Shirt,Blouse,Anklets
270,Shirt,Long sleeve,Skirt
271,Shirt,Long sleeve,Skirt
272,Shoes,Blouse,Skirt
273,Shoes,Blouse,Skirt
274,Blue jeans,Short sleeve,Dress
275,Shirt,Long sleeve,Anklets
276,Earring,Short sleeve,Dress
277,Shirt,Long sleeve,Skirt
278,Blue jeans,Bracelet,Skirt
279,Shirt,Blouse,Anklets
280,Shoes,Bracelet,Skirt
281,Earring,Short sleeve,Dress
282,Earring,Short sleeve,Dress
283,Blue jeans,Bracelet,Skirt
284,Blue jeans,Bracelet,Skirt
285,Shirt,Long sleeve,Anklets
286,Shoes,Bracelet,Skirt
287,Blue jeans,Short sleeve,Dress
288,Earring,Short sleeve,Dress
289,Shoes,Blouse,Skirt
290,Earring,Bracelet,Dress
291,Shoes,Blouse,Skirt
292,Blue jeans,Bracelet,Skirt
293,Shirt,Blouse,Anklets
294,Shirt,Blouse,Anklets
295,Shoes,Blouse,Skirt
296,Blue jeans,Bracelet,Skirt
297,Shoes,Blouse,Skirt
298,Blue jeans,Bracelet,Skirt
299,Shirt,Long sleeve,Skirt
300,Blue jeans,Short sleeve,Skirt
301,Shoes,Blouse,Skirt
302,Shirt,Blouse,Anklets
303,Blue jeans,Bracelet,Skirt
304,Blue jeans,Bracelet,Skirt
305,Shirt,Long sleeve,Skirt
306,Shoes,Bracelet,Anklets
307,Shirt,Long sleeve,Skirt
308,Blue jeans,Bracelet,Skirt
309,Shirt,Long sleeve,Skirt
310,Blue jeans,Bracelet,Skirt
311,Shoes,Bracelet,Anklets
312,Shoes,Bracelet,Skirt
313,Blue jeans,Short sleeve,Skirt
314,Shoes,Blouse,Skirt
315,Shoes,Blouse,Skirt
316,Shoes,Bracelet,Anklets
317,Blue jeans,Bracelet,Skirt
318,Shoes,Blouse,Skirt
319,Shirt,Blouse,Anklets
320,Earring,Short sleeve,Dress
321,Shirt,Long sleeve,Skirt
322,Shirt,Long sleeve,Anklets
323,Shoes,Blouse,Skirt
324,Blue jeans,Bracelet,Skirt
325,Earring,Short sleeve,Dress
326,Shirt,Long sleeve,Skirt
327,Blue jeans,Bracelet,Skirt
328,Shoes,Long sleeve,Anklets
329,Shirt,Blouse,Anklets
330,Shoes,Bracelet,Anklets
331,Earring,Short sleeve,Dress
332,Shoes,Blouse,Skirt
333,Shirt,Long sleeve,Skirt
334,Earring,Short sleeve,Dress
335,Shirt,Long sleeve,Anklets
336,Shirt,Blouse,Anklets
337,Shoes,Blouse,Skirt
338,Shirt,Blouse,Anklets
339,Blue jeans,Bracelet,Skirt
340,Blue jeans,Bracelet,Skirt
341,Shirt,Long sleeve,Skirt
342,Earring,Short sleeve,Dress
343,Shoes,Blouse,Skirt
344,Shoes,Bracelet,Skirt
345,Shoes,Blouse,Skirt
346,Shirt,Long sleeve,Anklets
347,Shoes,Bracelet,Skirt
348,Shoes,Blouse,Anklets
349,Shirt,Long sleeve,Skirt
350,Blue jeans,Bracelet,Skirt
351,Shoes,Blouse,Skirt
352,Blue jeans,Bracelet,Skirt
353,Earring,Short sleeve,Dress
354,Blue jeans,Bracelet,Skirt
355,Earring,Short sleeve,Dress
356,Shirt,Blouse,Anklets
357,Shoes,Bracelet,Anklets
358,Shoes,Bracelet,Anklets
359,Shoes,Blouse,Skirt
360,Shoes,Blouse,Skirt
361,Earring,Short sleeve,Dress
362,Earring,Short sleeve,Dress
363,Shoes,Bracelet,Anklets
364,Earring,Short sleeve,Dress
365,Shirt,Blouse,Anklets
366,Earring,Short sleeve,Dress
367,Shoes,Long sleeve,Anklets
368,Shirt,Blouse,Anklets
369,Shoes,Bracelet,Skirt
370,Shoes,Bracelet,Anklets
371,Shoes,Blouse,Skirt
372,Shirt,Long sleeve,Anklets
373,Earring,Short sleeve,Dress
374,Shirt,Long sleeve,Skirt
375,Shoes,Bracelet,Anklets
376,Shirt,Blouse,Anklets
377,Blue jeans,Bracelet,Skirt
378,Blue jeans,Bracelet,Skirt
379,Earring,Short sleeve,Dress
380,Shoes,Blouse,Skirt
381,Shoes,Blouse,Skirt
382,Shoes,Blouse,Skirt
383,Shoes,Blouse,Skirt
384,Earring,Short sleeve,Dress
385,Earring,Short sleeve,Dress
386,Shoes,Blouse,Skirt
387,Shoes,Bracelet,Anklets
388,Blue jeans,Bracelet,Skirt
389,Shoes,Blouse,Skirt
390,Shoes,Bracelet,Anklets
391,Shirt,Blouse,Anklets
392,Shoes,Bracelet,Anklets
393,Shoes,Blouse,Skirt
394,Shoes,Bracelet,Skirt
395,Shoes,Blouse,Skirt
396,Shoes,Blouse,Skirt
397,Shirt,Long sleeve,Skirt
398,Shoes,Bracelet,Anklets
399,Blue jeans,Short sleeve,Dress
400,Earring,Short sleeve,Dress
401,Shoes,Blouse,Skirt
402,Earring,Short sleeve,Dress
403,Earring,Short sleeve,Dress
404,Shoes,Blouse,Skirt
405,Shoes,Blouse,Skirt
406,Shoes,Blouse,Skirt
407,Shoes,Blouse,Skirt
408,Shirt,Blouse,Anklets
409,Blue jeans,Bracelet,Skirt
410,Shoes,Blouse,Skirt
411,Shoes,Bracelet,Skirt
412,Blue jeans,Bracelet,Skirt
413,Shoes,Blouse,Skirt
414,Shirt,Long sleeve,Anklets
415,Earring,Short sleeve,Dress
416,Shirt,Long sleeve,Anklets
417,Shirt,Long sleeve,Skirt
418,Blue jeans,Bracelet,Skirt
419,Shoes,Blouse,Skirt
420,Shirt,Long sleeve,Skirt
421,Blue jeans,Bracelet,Skirt
422,Shoes,Blouse,Skirt
423,Earring,Short sleeve,Dress
424,Shirt,Long sleeve,Skirt
425,Shoes,Blouse,Skirt
426,Shirt,Long sleeve,Skirt
427,Blue jeans,Short sleeve,Dress
428,Blue jeans,Bracelet,Skirt
429,Blue jeans,Bracelet,Skirt
430,Shoes,Bracelet,Skirt
431,Blue jeans,Bracelet,Skirt
432,Shirt,Long sleeve,Skirt
433,Blue jeans,Bracelet,Skirt
434,Shoes,Blouse,Skirt
435,Shoes,Blouse,Skirt
436,Shoes,Blouse,Skirt
437,Shirt,Long sleeve,Anklets
438,Blue jeans,Bracelet,Skirt
439,Shirt,Long sleeve,Skirt
440,Blue jeans,Bracelet,Skirt
441,Shirt,Long sleeve,Skirt
442,Shirt,Blouse,Anklets
443,Shoes,Bracelet,Skirt
444,Shoes,Blouse,Skirt
445,Blue jeans,Bracelet,Skirt
446,Shirt,Long sleeve,Skirt
447,Earring,Short sleeve,Dress
448,Shoes,Bracelet,Anklets
449,Blue jeans,Bracelet,Skirt
450,Earring,Short sleeve,Dress
451,Shoes,Blouse,Skirt
452,Blue jeans,Bracelet,Skirt
453,Shoes,Bracelet,Anklets
454,Earring,Short sleeve,Dress
455,Shirt,Long sleeve,Anklets
456,Shoes,Bracelet,Skirt
457,Blue jeans,Bracelet,Skirt
458,Shoes,Blouse,Skirt
459,Blue jeans,Bracelet,Skirt
460,Blue jeans,Bracelet,Skirt
461,Shirt,Blouse,Anklets
462,Earring,Short sleeve,Dress
463,Earring,Short sleeve,Dress
464,Shoes,Long sleeve,Anklets
465,Shirt,Blouse,Anklets
466,Earring,Short sleeve,Dress
467,Shirt,Long sleeve,Anklets
468,Shirt,Long sleeve,Anklets
469,Shirt,Blouse,Anklets
470,Blue jeans,Bracelet,Skirt
471,Shoes,Blouse,Skirt
472,Shoes,Blouse,Skirt
473,Shirt,Long sleeve,Anklets
474,Blue jeans,Bracelet,Skirt
475,Shirt,Long sleeve,Skirt
476,Shoes,Bracelet,Skirt
477,Shoes,Blouse,Skirt
478,Blue jeans,Short sleeve,Dress
479,Shirt,Long sleeve,Skirt
480,Blue jeans,Bracelet,Skirt
481,Earring,Bracelet,Dress
482,Earring,Short sleeve,Dress
483,Shirt,Long sleeve,Skirt
484,Blue jeans,Bracelet,Skirt
485,Shoes,Blouse,Skirt
486,Shirt,Long sleeve,Anklets
487,Blue jeans,Short sleeve,Skirt
488,Shoes,Blouse,Anklets
489,Shirt,Long sleeve,Skirt
490,Earring,Short sleeve,Dress
491,Blue jeans,Bracelet,Skirt
492,Earring,Short sleeve,Dress
493,Earring,Short sleeve,Dress
494,Shirt,Long sleeve,Skirt
495,Blue jeans,Bracelet,Skirt
496,Earring,Short sleeve,Dress
497,Shoes,Blouse,Skirt
498,Shoes,Blouse,Skirt
499,Blue jeans,Bracelet,Skirt
500,Shoes,Bracelet,Anklets
501,Shirt,Long sleeve,Anklets
502,Shoes,Bracelet,Anklets
503,Shoes,Bracelet,Anklets
504,Blue jeans,Bracelet,Skirt
505,Blue jeans,Bracelet,Skirt
506,Blue jeans,Bracelet,Skirt
507,Shoes,Bracelet,Anklets
508,Blue jeans,Bracelet,Skirt
509,Shoes,Bracelet,Skirt
510,Shirt,Long sleeve,Skirt
511,Blue jeans,Bracelet,Skirt
512,Shoes,Blouse,Skirt
513,Shoes,Blouse,Skirt
514,Shirt,Long sleeve,Anklets
515,Blue jeans,Bracelet,Skirt
516,Blue jeans,Short sleeve,Dress
517,Shirt,Long sleeve,Anklets
518,Shirt,Long sleeve,Skirt
519,Shoes,Bracelet,Anklets
520,Earring,Short sleeve,Dress
521,Shoes,Bracelet,Anklets
522,Shoes,Blouse,Skirt
523,Earring,Short sleeve,Dress
524,Shoes,Blouse,Skirt
525,Blue jeans,Bracelet,Skirt
526,Shirt,Long sleeve,Skirt
527,Shoes,Bracelet,Anklets
528,Blue jeans,Bracelet,Skirt
529,Shirt,Long sleeve,Skirt
530,Earring,Short sleeve,Dress
531,Blue jeans,Short sleeve,Dress
532,Earring,Short sleeve,Dress
533,Shoes,Bracelet,Anklets
534,Blue jeans,Bracelet,Skirt
535,Earring,Short sleeve,Dress
536,Shirt,Long sleeve,Anklets
537,Shoes,Bracelet,Anklets
538,Shirt,Long sleeve,Skirt
539,Earring,Short sleeve,Dress
540,Shoes,Blouse,Skirt
541,Earring,Short sleeve,Dress
542,Blue jeans,Bracelet,Skirt
543,Earring,Short sleeve,Dress
544,Shirt,Long sleeve,Skirt
545,Blue jeans,Bracelet,Skirt
546,Earring,Short sleeve,Dress
547,Shoes,Bracelet,Skirt
548,Shirt,Long sleeve,Skirt
549,Shirt,Blouse,Anklets
550,Shirt,Long sleeve,Skirt
551,Shoes,Bracelet,Skirt
552,Shoes,Bracelet,Skirt
553,Earring,Short sleeve,Dress
554,Shoes,Blouse,Skirt
555,Shoes,Blouse,Skirt
556,Shoes,Blouse,Skirt
557,Shoes,Blouse,Skirt
558,Shirt,Long sleeve,Skirt
559,Shirt,Long sleeve,Skirt
560,Earring,Short sleeve,Dress
561,Shoes,Blouse,Skirt
562,Shirt,Long sleeve,Anklets
563,Blue jeans,Bracelet,Skirt
564,Blue jeans,Bracelet,Skirt
565,Blue jeans,Bracelet,Skirt
566,Earring,Short sleeve,Dress
567,Shoes,Blouse,Skirt
568,Blue jeans,Short sleeve,Dress
569,Earring,Short sleeve,Dress
570,Shoes,Blouse,Anklets
571,Shirt,Blouse,Anklets
572,Blue jeans,Short sleeve,Dress
573,Shoes,Blouse,Skirt
574,Shoes,Bracelet,Skirt
575,Blue jeans,Bracelet,Skirt
576,Shirt,Long sleeve,Anklets
577,Earring,Short sleeve,Dress
578,Earring,Short sleeve,Dress
579,Shirt,Long sleeve,Skirt
580,Shoes,Blouse,Skirt
581,Shirt,Long sleeve,Skirt
582,Blue jeans,Bracelet,Skirt
583,Blue jeans,Bracelet,Skirt
584,Shoes,Blouse,Skirt
585,Shoes,Blouse,Skirt
586,Shirt,Long sleeve,Skirt
587,Shoes,Bracelet,Skirt
588,Blue jeans,Bracelet,Skirt
589,Shoes,Blouse,Skirt
590,Shoes,Blouse,Skirt
591,Earring,Short sleeve,Dress
592,Shirt,Long sleeve,Anklets
593,Shirt,Long sleeve,Skirt
594,Shoes,Blouse,Skirt
595,Blue jeans,Short sleeve,Dress
596,Earring,Short sleeve,Dress
597,Shoes,Blouse,Skirt
598,Shoes,Blouse,Skirt
599,Blue jeans,Bracelet,Skirt
600,Shoes,Long sleeve,Anklets
601,Shoes,Bracelet,Skirt
602,Earring,Short sleeve,Dress
603,Shirt,Long sleeve,Anklets
604,Earring,Bracelet,Dress
605,Shirt,Long sleeve,Skirt
606,Blue jeans,Bracelet,Skirt
607,Earring,Short sleeve,Dress
608,Blue jeans,Bracelet,Skirt
609,Shoes,Blouse,Skirt
610,Shoes,Bracelet,Skirt
611,Blue jeans,Bracelet,Skirt
612,Earring,Short sleeve,Dress
613,Shirt,Long sleeve,Skirt
614,Earring,Short sleeve,Dress
615,Shoes,Blouse,Skirt
616,Earring,Short sleeve,Dress
617,Shirt,Long sleeve,Skirt
618,Earring,Short sleeve,Dress
619,Blue jeans,Bracelet,Skirt
620,Shirt,Long sleeve,Anklets
621,Shirt,Long sleeve,Anklets
622,Shoes,Bracelet,Anklets
623,Shoes,Bracelet,Anklets
624,Earring,Short sleeve,Dress
625,Shoes,Bracelet,Skirt
626,Shoes,Bracelet,Anklets
627,Earring,Short sleeve,Dress
628,Blue jeans,Bracelet,Skirt
629,Shoes,Blouse,Skirt
630,Shoes,Blouse,Skirt
631,Shoes,Blouse,Skirt
632,Shirt,Long sleeve,Skirt
633,Shoes,Bracelet,Anklets
634,Earring,Bracelet,Dress
635,Earring,Short sleeve,Dress
636,Shoes,Bracelet,Anklets
637,Shoes,Bracelet,Anklets
638,Earring,Short sleeve,Dress
639,Shirt,Long sleeve,Skirt
640,Shoes,Bracelet,Anklets
641,Earring,Short sleeve,Dress
642,Shirt,Long sleeve,Skirt
643,Shoes,Blouse,Skirt
644,Shirt,Long sleeve,Skirt
645,Blue jeans,Bracelet,Skirt
646,Blue jeans,Short sleeve,Dress
647,Shoes,Bracelet,Anklets
648,Shoes,Blouse,Anklets
649,Blue jeans,Bracelet,Skirt
650,Shirt,Long sleeve,Skirt
651,Shirt,Long sleeve,Skirt
652,Blue jeans,Bracelet,Skirt
653,Earring,Short sleeve,Dress
654,Blue jeans,Bracelet,Skirt
655,Blue jeans,Bracelet,Skirt
656,Earring,Short sleeve,Dress
657,Blue jeans,Short sleeve,Dress
658,Blue jeans,Bracelet,Skirt
659,Blue jeans,Bracelet,Skirt
660,Shoes,Blouse,Skirt
661,Earring,Short sleeve,Dress
662,Earring,Short sleeve,Dress
663,Shoes,Blouse,Skirt
664,Blue jeans,Bracelet,Skirt
665,Shirt,Long sleeve,Skirt
666,Shirt,Long sleeve,Skirt
667,Blue jeans,Bracelet,Skirt
668,Shoes,Blouse,Skirt
669,Shoes,Blouse,Skirt
670,Shirt,Long sleeve,Anklets
671,Shirt,Blouse,Anklets
672,Shoes,Blouse,Anklets
673,Earring,Short sleeve,Dress
674,Earring,Short sleeve,Dress
675,Shoes,Bracelet,Skirt
676,Shirt,Long sleeve,Skirt
677,Shirt,Long sleeve,Anklets
678,Blue jeans,Bracelet,Skirt
679,Shirt,Long sleeve,Skirt
680,Earring,Short sleeve,Dress
681,Shoes,Blouse,Skirt
682,Shoes,Bracelet,Anklets
683,Blue jeans,Short sleeve,Dress
684,Earring,Short sleeve,Dress
685,Shoes,Blouse,Skirt
686,Blue jeans,Bracelet,Skirt
687,Shoes,Bracelet,Anklets
688,Shoes,Bracelet,Skirt
689,Blue jeans,Bracelet,Skirt
690,Earring,Bracelet,Dress
691,Shirt,Long sleeve,Skirt
692,Earring,Short sleeve,Dress
693,Blue jeans,Bracelet,Skirt
694,Blue jeans,Bracelet,Skirt
695,Earring,Short sleeve,Dress
696,Shirt,Long sleeve,Skirt
697,Shoes,Blouse,Skirt
698,Blue jeans,Bracelet,Skirt
699,Blue jeans,Short sleeve,Dress
700,Earring,Short sleeve,Dress
701,Shoes,Bracelet,Skirt
702,Blue jeans,Bracelet,Skirt
703,Shirt,Long sleeve,Skirt
704,Shirt,Long sleeve,Anklets
705,Blue jeans,Bracelet,Skirt
706,Blue jeans,Short sleeve,Dress
707,Earring,Short sleeve,Dress
708,Shoes,Blouse,Skirt
709,Shoes,Blouse,Skirt
710,Earring,Short sleeve,Dress
711,Shoes,Bracelet,Skirt
712,Earring,Short sleeve,Dress
713,Blue jeans,Bracelet,Skirt
714,Shoes,Bracelet,Skirt
715,Earring,Short sleeve,Dress
716,Shoes,Bracelet,Anklets
717,Shirt,Long sleeve,Anklets
718,Blue jeans,Bracelet,Skirt
719,Earring,Short sleeve,Dress
720,Earring,Short sleeve,Dress
721,Earring,Short sleeve,Dress
722,Shoes,Bracelet,Skirt
723,Shoes,Blouse,Skirt
724,Shoes,Blouse,Skirt
725,Earring,Short sleeve,Dress
726,Shoes,Blouse,Skirt
727,Earring,Short sleeve,Dress
728,Shoes,Bracelet,Skirt
729,Shoes,Blouse,Skirt
730,Earring,Short sleeve,Dress
731,Shoes,Blouse,Skirt
732,Shirt,Long sleeve,Skirt
733,Earring,Bracelet,Dress
734,Shirt,Long sleeve,Skirt
735,Shirt,Long sleeve,Skirt
736,Blue jeans,Bracelet,Skirt
737,Shirt,Long sleeve,Skirt
738,Shoes,Bracelet,Anklets
739,Shoes,Blouse,Skirt
740,Shoes,Bracelet,Skirt
741,Shoes,Blouse,Skirt
742,Blue jeans,Bracelet,Skirt
743,Shirt,Long sleeve,Skirt
744,Blue jeans,Bracelet,Skirt
745,Shirt,Long sleeve,Skirt
746,Shirt,Long sleeve,Anklets
747,Shirt,Long sleeve,Skirt
748,Blue jeans,Bracelet,Skirt
749,Shoes,Bracelet,Skirt
750,Blue jeans,Bracelet,Skirt
751,Shoes,Bracelet,Skirt
752,Earring,Short sleeve,Dress
753,Shirt,Long sleeve,Skirt
754,Earring,Bracelet,Dress
755,Shoes,Blouse,Skirt
756,Shirt,Long sleeve,Skirt
757,Shoes,Blouse,Skirt
758,Shoes,Blouse,Skirt
759,Blue jeans,Bracelet,Skirt
760,Blue jeans,Short sleeve,Dress
761,Shirt,Long sleeve,Skirt
762,Shoes,Long sleeve,Anklets
763,Shirt,Long sleeve,Anklets
764,Shoes,Blouse,Skirt
765,Blue jeans,Bracelet,Skirt
